_id,annee,cumul_periode,rss,region,nom_etablissement,nom_installation,no_permis_installation,nb_visites_total,nb_usagers_75ans_et_plus_total,nb_usagers_sante_mentale_total,dms_total,nb_usagers_pec_total,delai_pec_total,nb_visites_ambulatoire,nb_usagers_75ans_et_plus_amb,nb_usagers_sante_mentale_amb,dms_ambulatoire,nb_usagers_pec_ambulatoire,delai_pec_ambulatoire,nb_visites_sur_civiere,nb_usagers_sur_civiere_plus_24h,nb_usagers_sur_civiere_plus_48h,dms_sur_civiere,nb_usagers_pec_sur_civiere,delai_pec_sur_civiere,nb_usagers_75ans_et_plus_civ,nb_usagers_sante_mentale_civ
84,2022-2023,4,03,Capitale-Nationale,SANTÉ QUÉBEC - INSTITUT UNIVERSITAIRE DE CARDIOLOGIE ET DE PNEUMOLOGIE DE QUÉBEC - UNIVERSITÉ LAVAL,Total établissement,,8259,2603,180,8.2668684667,7751,2.0260652747,4220,855,82,4.0244720906,3724,2.5218149541,4039,431,0,12.699379659,4027,1.5676168502,1748,98
85,2022-2023,4,03,Capitale-Nationale,SANTÉ QUÉBEC CAPITALE-NATIONALE - UNIVERSITAIRE,Total établissement,,37924,4300,680,3.7447102245,27970,1.9067944921,32190,2710,438,2.9030737548,22354,2.1131164569,5734,315,50,8.4695581425,5616,1.0855478395,1590,242
86,2022-2023,4,04,Mauricie et Centre-du-Québec,SANTÉ QUÉBEC MAURICIE-ET-CENTRE-DU-QUÉBEC - UNIVERSITAIRE,Total établissement,,74373,11836,3863,7.5801108377,56604,3.2598258663,50056,3978,1188,4.8369944551,32656,4.0686501375,24317,3596,363,13.226754488,23948,2.1568959598,7858,2675
87,2022-2023,4,05,Estrie,SANTÉ QUÉBEC ESTRIE - CENTRE HOSPITALIER UNIVERSITAIRE DE SHERBROOKE,Total établissement,,71581,10829,3759,8.3426408893,57974,3.112067076,46846,3680,1249,5.0205784556,33365,4.0036486838,24735,4675,1091,14.634346439,24609,1.9032564644,7149,2510
88,2022-2023,4,06,Montréal,SANTÉ QUÉBEC - CENTRE HOSPITALIER DE L'UNIVERSITÉ DE MONTRÉAL,Total établissement,,19938,2764,1631,14.295835632,15362,3.2727710151,12243,785,644,7.6950053092,7738,5.0526366991,7695,3124,1016,24.797975417,7624,1.4662913898,1979,987
89,2022-2023,4,06,Montréal,SANTÉ QUÉBEC - CENTRE HOSPITALIER UNIVERSITAIRE SAINTE-JUSTINE,Total établissement,,28741,0,619,5.8812887803,22458,2.9420741557,19674,0,298,5.2603055076,14001,3.4887690959,9067,114,2,7.2287272833,8457,2.0369924652,0,321
90,2022-2023,4,06,Montréal,SANTÉ QUÉBEC - CENTRE UNIVERSITAIRE DE SANTÉ MCGILL,Total établissement,,55175,4311,2432,10.988838907,44643,3.1194194436,38270,1259,713,6.8752455361,27940,3.8625973415,16905,4240,1876,20.301303756,16703,1.8762660899,3052,1719
91,2022-2023,4,06,Montréal,SANTÉ QUÉBEC - INSTITUT DE CARDIOLOGIE DE MONTRÉAL,Total établissement,,5358,1498,166,9.9881793061,5224,1.2666774077,3259,596,139,3.574715233,3129,1.4715389191,2099,710,102,19.946006564,2095,0.9607052506,902,27
92,2022-2023,4,06,Montréal,SANTÉ QUÉBEC CENTRE-OUEST-DE-L'ÎLE-DE-MONTRÉAL - UNIVERSITAIRE,Total établissement,,26678,4958,1488,10.129324298,23326,2.4346662523,10454,703,174,4.2940555184,7592,2.9488776563,16224,2396,642,13.88930333,15734,2.1865479747,4255,1314
93,2022-2023,4,06,Montréal,SANTÉ QUÉBEC CENTRE-SUD-DE-L'ÎLE-DE-MONTRÉAL - UNIVERSITAIRE,Total établissement,,23457,3369,2293,10.630295505,20436,2.1777851178,15223,863,860,4.8010777734,12229,2.8369737009,8234,2656,652,21.407339655,8207,1.1955483463,2506,1433
