_id,annee,cumul_periode,rss,region,nom_etablissement,nom_installation,no_permis_installation,nb_visites_total,nb_usagers_75ans_et_plus_total,nb_usagers_sante_mentale_total,dms_total,nb_usagers_pec_total,delai_pec_total,nb_visites_ambulatoire,nb_usagers_75ans_et_plus_amb,nb_usagers_sante_mentale_amb,dms_ambulatoire,nb_usagers_pec_ambulatoire,delai_pec_ambulatoire,nb_visites_sur_civiere,nb_usagers_sur_civiere_plus_24h,nb_usagers_sur_civiere_plus_48h,dms_sur_civiere,nb_usagers_pec_sur_civiere,delai_pec_sur_civiere,nb_usagers_75ans_et_plus_civ,nb_usagers_sante_mentale_civ
204,2026-2027,5,06,Montréal,SANTÉ QUÉBEC CENTRE-SUD-DE-L'ÎLE-DE-MONTRÉAL - UNIVERSITAIRE,Total établissement,,33740,5239,2990,10.08618212,28691,2.2620159148,22137,1725,1013,5.1265607354,17133,2.9586098465,11603,2635,415,19.548488298,11558,1.2294199785,3514,1977
205,2026-2027,5,06,Montréal,SANTÉ QUÉBEC EST-DE-L'ÎLE-DE-MONTRÉAL - UNIVERSITAIRE,Total établissement,,46907,9582,4571,11.833407576,33461,3.6640318746,27534,2520,1621,5.341505129,14187,5.275699545,19373,6498,1563,21.060065397,19274,2.4777327545,7062,2950
206,2026-2027,5,06,Montréal,SANTÉ QUÉBEC OUEST-DE-L'ÎLE-DE-MONTRÉAL - UNIVERSITAIRE,Total établissement,,43654,9085,4404,12.277210578,35521,3.1350918002,27301,2827,1740,6.1962957299,19266,4.0252666615,16353,4610,1726,22.429173903,16255,2.0800251205,6258,2664
207,2026-2027,5,07,Outaouais,SANTÉ QUÉBEC OUTAOUAIS,Total établissement,,65624,10091,3635,10.184007473,47909,4.7341873482,46382,4555,1325,5.9114836575,29653,4.3883628507,19242,5586,1711,20.482739392,18256,5.295905897,5536,2310
208,2026-2027,5,08,Abitibi-Témiscamingue,SANTÉ QUÉBEC ABITIBI-TÉMISCAMINGUE,Total établissement,,44352,6436,2441,6.0367087354,37047,2.9489129799,35630,3830,1777,4.707320493,28430,3.2775364931,8722,960,71,11.467355729,8617,1.8646880198,2606,664
209,2026-2027,5,09,Côte-Nord,SANTÉ QUÉBEC CÔTE-NORD,Total établissement,,38471,5154,2304,7.437031588,31538,3.1248318255,29898,2997,1382,4.7043162214,23150,3.3535539237,8573,1842,778,16.967268848,8388,2.49358283,2157,922
210,2026-2027,5,10,Nord-du-Québec,SANTÉ QUÉBEC BAIE-JAMES,Total établissement,,9835,1071,728,3.6832808564,9207,0.8888755838,8416,842,482,2.2697503103,7819,0.8665642097,1419,140,26,12.066841868,1388,1.0145619196,229,246
211,2026-2027,5,11,Gaspésie-Îles-de-la-Madeleine,SANTÉ QUÉBEC DES ÎLES,Total établissement,,6081,1021,175,4.5421610115,5314,1.6434429494,4796,676,94,3.1656659485,4046,1.7645712501,1285,96,6,9.6796476438,1268,1.2569405012,345,81
212,2026-2027,5,11,Gaspésie-Îles-de-la-Madeleine,SANTÉ QUÉBEC GASPÉSIE,Total établissement,,32902,6312,1315,5.700657829,28614,2.0142958575,26358,4027,863,3.66561649,22156,2.190901524,6544,1173,268,13.897421217,6458,1.4084000465,2285,452
213,2026-2027,5,12,Chaudière-Appalaches,SANTÉ QUÉBEC CHAUDIÈRE-APPALACHES,Total établissement,,95510,17760,4300,6.8916938628,81915,2.0668656975,72962,9135,2125,3.8378460515,59414,2.4467245935,22548,5075,1311,16.773494644,22501,1.063846434,8625,2175
214,2026-2027,5,13,Laval,SANTÉ QUÉBEC LAVAL,Total établissement,,36310,7673,2480,11.469120077,27823,3.9785866709,21822,2380,465,6.1723138092,13440,4.990608631,14488,4436,583,19.447233438,14383,3.0329164253,5293,2015
215,2026-2027,5,14,Lanaudière,SANTÉ QUÉBEC LANAUDIÈRE,Total établissement,,65096,13027,4037,9.6970664907,46643,3.4856315465,44074,4829,2012,5.7502708261,25708,4.3766103288,21022,6191,589,17.971782128,20935,2.3915172624,8198,2025
216,2026-2027,5,15,Laurentides,SANTÉ QUÉBEC LAURENTIDES,Total établissement,,85363,16716,5539,11.365535641,63059,3.8861741121,55469,6422,1733,6.1394418855,33441,4.9204939878,29894,9609,2682,21.062672006,29618,2.7183474201,10294,3806
217,2026-2027,5,16,Montérégie,SANTÉ QUÉBEC MONTÉRÉGIE-CENTRE,Total établissement,,55166,10908,4129,10.614739221,35837,4.6531194792,35232,3781,1213,6.3135353435,15962,5.9707585724,19934,5225,952,18.216826862,19875,3.5948978337,7127,2916
218,2026-2027,5,16,Montérégie,SANTÉ QUÉBEC MONTÉRÉGIE-EST,Total établissement,,58566,12849,3220,10.925588225,42342,4.9993730286,32102,4517,1069,5.9398003932,16271,5.9516920868,26464,6523,1318,16.973568915,26071,4.4050274571,8332,2151
219,2026-2027,5,16,Montérégie,SANTÉ QUÉBEC MONTÉRÉGIE-OUEST,Total établissement,,43553,7939,2788,11.43401787,34032,3.0742678868,30179,2925,1086,5.1787350199,20745,3.6537522027,13374,4530,1929,25.549329753,13287,2.1695187234,5014,1702
220,2022-2023,5,01,Bas-Saint-Laurent,SANTÉ QUÉBEC BAS-SAINT-LAURENT,CENTRE HOSPITALIER RÉGIONAL DU GRAND-PORTAGE,51218352,8082,1322,352,4.868560931,6690,2.2066093257,6012,549,214,3.2024497764,4638,2.4626804537,2070,37,2,9.707527241,2052,1.6278286766,773,138
221,2022-2023,5,01,Bas-Saint-Laurent,SANTÉ QUÉBEC BAS-SAINT-LAURENT,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE TROIS-PISTOLES,51236156,4138,597,116,3.0993757048,3721,1.3215018364,3619,397,94,2.3829127138,3210,1.3996908965,519,30,1,8.0952900878,511,0.8303337682,200,22
